timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692338921499,542,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,536,619,30,30,null,0,0,0
1692338921396,649,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,536,619,30,30,null,0,0,0
1692338921769,541,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,536,619,30,30,null,0,0,0
1692338921996,428,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,536,619,30,30,null,0,0,0
1692338923248,539,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,536,619,30,30,null,0,0,0
1692338923348,494,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,536,619,30,30,null,0,0,0
1692338923637,476,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,536,619,30,30,null,0,0,0
1692338923692,462,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,30,30,null,0,0,0
1692338924370,418,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,30,30,null,0,0,0
1692338924416,415,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,536,619,30,30,null,0,0,0
1692338924658,486,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,536,619,30,30,null,0,0,0
1692338929673,482,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-26,text,true,,536,619,30,30,null,0,0,0
1692338929667,531,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,536,619,30,30,null,0,0,0
1692338929813,510,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,536,619,30,30,null,0,0,0
1692338929906,588,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,536,619,30,30,null,0,0,0
1692338929916,608,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,536,619,30,30,null,0,0,0
1692338930976,428,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,30,30,null,0,0,0
1692338931002,483,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,30,30,null,0,0,0
1692338931476,420,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,536,619,30,30,null,0,0,0
1692338931818,372,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,536,619,30,30,null,0,0,0
1692338932049,554,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,536,619,30,30,null,0,0,0
1692338932046,569,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,536,619,30,30,null,0,0,0
1692338932430,433,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,536,619,30,30,null,0,0,0
